Design, iScen, GridIndex, TrialID, ISA1Status, ISA2Status, CurrentTime, ISA1Trt1, ISA1Trt2, ISA2Trt1, ISA2Trt3, ISAStart1, ISAStart2, ISAPause1, ISAPause2, FinalPatientEnrolledTimeISA1, FinalPatientEnrolledTimeISA2, StartIAISA1, StartIAISA2, FinalAnalysisTimeISA1, FinalAnalysisTimeISA2
1, 1, 1, 1, 7, 7, 26.9349948113796, 85, 85, 100, 100, 0, 6, 0, 0, 18.148128525374, 25.9349848113796, 19.1782364130194, 26.9349948113796, 19.1782364130194, 26.9349948113796
1, 1, 1, 2, 7, 7, 27.3287288683433, 85, 85, 100, 100, 0, 6, 0, 0, 18.6753804229026, 26.3287188683433, 19.7399706337618, 27.3287288683433, 19.7399706337618, 27.3287288683433
1, 1, 1, 3, 7, 7, 27.8253005687553, 85, 85, 100, 100, 0, 6, 0, 0, 20.3516557145482, 26.8252905687553, 21.4078770348024, 27.8253005687553, 21.4078770348024, 27.8253005687553
1, 1, 1, 4, 7, 7, 25.9836868490166, 85, 85, 100, 100, 0, 6, 0, 0, 19.1152199113263, 24.9836768490166, 20.3270160183413, 25.9836868490166, 20.3270160183413, 25.9836868490166
1, 1, 1, 5, 7, 6, 27.6186884239665, 85, 85, 100, 100, 0, 6, 0, 0, 19.8228961803969, 26.6186784239665, 20.9301094995536, 27.6186884239665, 20.9301094995536, 27.6186884239665
1, 1, 1, 6, 7, 7, 27.3701250936189, 85, 85, 100, 100, 0, 6, 0, 0, 18.6643428239566, 26.3701150936189, 19.8386009462468, 27.3701250936189, 19.8386009462468, 27.3701250936189
1, 1, 1, 7, 7, 7, 29.0790357271351, 85, 85, 100, 100, 0, 6, 0, 0, 22.0822171971424, 28.0790257271351, 23.1745661172658, 29.0790357271351, 23.1745661172658, 29.0790357271351
1, 1, 1, 8, 7, 7, 27.7836008147996, 85, 85, 100, 100, 0, 6, 0, 0, 17.2697736120218, 26.7835908147996, 18.2771203707349, 27.7836008147996, 18.2771203707349, 27.7836008147996
1, 1, 1, 9, 6, 7, 26.5216730630704, 85, 85, 100, 100, 0, 6, 0, 0, 19.665625862443, 25.5216630630704, 20.8042734465644, 26.5216730630704, 20.8042734465644, 26.5216730630704
1, 1, 1, 10, 7, 7, 25.5100731902551, 85, 85, 100, 100, 0, 6, 0, 0, 17.0652250353219, 24.5100631902551, 18.0820994525499, 25.5100731902551, 18.0820994525499, 25.5100731902551
1, 1, 1, 11, 7, 7, 29.344827982191, 85, 85, 100, 100, 0, 6, 0, 0, 21.975869394682, 28.344817982191, 23.0068300671255, 29.344827982191, 23.0068300671255, 29.344827982191
1, 1, 1, 12, 7, 7, 24.932847417412, 85, 85, 100, 100, 0, 6, 0, 0, 16.6818072602772, 23.932837417412, 17.7786051968004, 24.932847417412, 17.7786051968004, 24.932847417412
1, 1, 1, 13, 7, 7, 30.47852754479, 85, 85, 100, 100, 0, 6, 0, 0, 22.2527134302864, 29.47851754479, 23.2667872725424, 30.47852754479, 23.2667872725424, 30.47852754479
1, 1, 1, 14, 7, 7, 26.4487796284204, 85, 85, 100, 100, 0, 6, 0, 0, 19.3211519944745, 25.4487696284204, 20.3514042166893, 26.4487796284204, 20.3514042166893, 26.4487796284204
1, 1, 1, 15, 7, 7, 25.760526447902, 85, 85, 100, 100, 0, 6, 0, 0, 18.3312286345751, 24.760516447902, 19.3493454272352, 25.760526447902, 19.3493454272352, 25.760526447902
1, 1, 1, 16, 7, 5, 27.7288358463431, 85, 85, 100, 100, 0, 6, 0, 0, 19.4012539160298, 26.7288258463431, 20.5204422595382, 27.7288358463431, 20.5204422595382, 27.7288358463431
1, 1, 1, 17, 7, 7, 27.0926828826016, 85, 85, 100, 100, 0, 6, 0, 0, 18.9862669565523, 26.0926728826016, 20.031903567755, 27.0926828826016, 20.031903567755, 27.0926828826016
1, 1, 1, 18, 7, 7, 27.0273610570017, 85, 85, 100, 100, 0, 6, 0, 0, 18.8266111370354, 26.0273510570017, 19.8628041936203, 27.0273610570017, 19.8628041936203, 27.0273610570017
1, 1, 1, 19, 7, 7, 27.2229684299903, 85, 85, 100, 100, 0, 6, 0, 0, 20.1271778782463, 26.2229584299903, 21.1445068945245, 27.2229684299903, 21.1445068945245, 27.2229684299903
1, 1, 1, 20, 7, 7, 28.541917229316, 85, 85, 100, 100, 0, 6, 0, 0, 19.7262102665171, 27.541907229316, 20.8273529444164, 28.541917229316, 20.8273529444164, 28.541917229316
1, 1, 1, 21, 7, 7, 27.8073695438405, 85, 85, 100, 100, 0, 6, 0, 0, 19.5593312199227, 26.8073595438405, 20.6476745809092, 27.8073695438405, 20.6476745809092, 27.8073695438405
1, 1, 1, 22, 7, 7, 27.4294933601178, 85, 85, 100, 100, 0, 6, 0, 0, 22.7994346284819, 26.4294833601178, 23.9713828247683, 27.4294933601178, 23.9713828247683, 27.4294933601178
1, 1, 1, 23, 7, 7, 27.4474209696242, 85, 85, 100, 100, 0, 6, 0, 0, 19.9028215546555, 26.4474109696242, 20.9179981284804, 27.4474209696242, 20.9179981284804, 27.4474209696242
1, 1, 1, 24, 6, 7, 27.7763580971608, 85, 85, 100, 100, 0, 6, 0, 0, 21.3667350765229, 26.7763480971608, 22.4577003675013, 27.7763580971608, 22.4577003675013, 27.7763580971608
1, 1, 1, 25, 7, 7, 27.0961532746612, 85, 85, 100, 100, 0, 6, 0, 0, 17.1497596463753, 26.0961432746612, 18.3631631646401, 27.0961532746612, 18.3631631646401, 27.0961532746612
1, 1, 1, 26, 7, 7, 25.1822859593471, 85, 85, 100, 100, 0, 6, 0, 0, 15.9939482622796, 24.1822759593471, 17.0257887462775, 25.1822859593471, 17.0257887462775, 25.1822859593471
